"","participant","photo_set","group","trial_n","block_n","check_button.corr","check_button.rt","learn_half","groupname"
"1","2324_ChildEEGTest","3","1",1,1,1,8.7085473,"1","Sequential"
"2","2324_ChildEEGTest","3","1",2,1,1,12.5514933,"1","Sequential"
"3","2324_ChildEEGTest","3","1",3,1,0,4.0485633,"1","Sequential"
"4","2324_ChildEEGTest","3","1",4,1,1,5.5200185,"1","Sequential"
"5","2324_ChildEEGTest","3","1",5,1,1,5.7225405,"1","Sequential"
"6","2324_ChildEEGTest","3","1",6,2,1,8.8776887,"1","Sequential"
"7","2324_ChildEEGTest","3","1",7,2,1,5.4712994,"1","Sequential"
"8","2324_ChildEEGTest","3","1",8,2,1,3.8748306,"1","Sequential"
"9","2324_ChildEEGTest","3","1",9,2,1,5.0674829,"1","Sequential"
"10","2324_ChildEEGTest","3","1",10,2,0,5.8815841,"1","Sequential"
"11","2324_ChildEEGTest","3","1",11,3,1,4.9189807,"1","Sequential"
"12","2324_ChildEEGTest","3","1",12,3,1,8.2281551,"1","Sequential"
"13","2324_ChildEEGTest","3","1",13,3,0,4.8136524,"1","Sequential"
"14","2324_ChildEEGTest","3","1",14,3,1,5.547499,"1","Sequential"
"15","2324_ChildEEGTest","3","1",15,4,1,3.942678,"2","Sequential"
"16","2324_ChildEEGTest","3","1",16,4,0,5.8021466,"2","Sequential"
"17","2324_ChildEEGTest","3","1",17,4,1,3.4135243,"2","Sequential"
"18","2324_ChildEEGTest","3","1",18,4,1,4.8228412,"2","Sequential"
"19","2324_ChildEEGTest","3","1",19,4,1,5.8162221,"2","Sequential"
"20","2324_ChildEEGTest","3","1",20,5,1,6.8494733,"2","Sequential"
"21","2324_ChildEEGTest","3","1",21,5,1,3.8111777,"2","Sequential"
"22","2324_ChildEEGTest","3","1",22,5,1,3.6318527,"2","Sequential"
"23","2324_ChildEEGTest","3","1",23,5,1,3.4300364,"2","Sequential"
"24","2324_ChildEEGTest","3","1",34,5,1,3.7881971,"2","Sequential"
"25","2324_ChildEEGTest","3","1",25,6,1,4.8427611,"2","Sequential"
"26","2324_ChildEEGTest","3","1",26,6,0,3.8424948,"2","Sequential"
"27","2324_ChildEEGTest","3","1",27,6,1,4.8783231,"2","Sequential"
"28","2324_ChildEEGTest","3","1",28,6,0,5.3820168,"2","Sequential"
"29","2373_ChildEEGTest","2","1",1,1,0,5.9724259,"1","Sequential"
"30","2373_ChildEEGTest","2","1",2,1,0,4.4760606,"1","Sequential"
"31","2373_ChildEEGTest","2","1",3,1,1,4.5194331,"1","Sequential"
"32","2373_ChildEEGTest","2","1",4,1,1,3.9972345,"1","Sequential"
"33","2373_ChildEEGTest","2","1",5,1,1,5.3629318,"1","Sequential"
"34","2373_ChildEEGTest","2","1",6,2,0,6.2734365,"1","Sequential"
"35","2373_ChildEEGTest","2","1",7,2,1,3.6129885,"1","Sequential"
"36","2373_ChildEEGTest","2","1",8,2,1,4.1560272,"1","Sequential"
"37","2373_ChildEEGTest","2","1",9,2,1,3.5744409,"1","Sequential"
"38","2373_ChildEEGTest","2","1",10,2,0,5.9473554,"1","Sequential"
"39","2373_ChildEEGTest","2","1",11,3,1,3.4511777,"1","Sequential"
"40","2373_ChildEEGTest","2","1",12,3,1,6.3984869,"1","Sequential"
"41","2373_ChildEEGTest","2","1",13,3,0,4.5512081,"1","Sequential"
"42","2373_ChildEEGTest","2","1",14,3,1,4.1865129,"1","Sequential"
"43","2373_ChildEEGTest","2","1",15,4,1,3.654831,"2","Sequential"
"44","2373_ChildEEGTest","2","1",16,4,1,3.9045534,"2","Sequential"
"45","2373_ChildEEGTest","2","1",17,4,1,3.7070685,"2","Sequential"
"46","2373_ChildEEGTest","2","1",18,4,0,5.9080069,"2","Sequential"
"47","2373_ChildEEGTest","2","1",19,4,0,4.7972231,"2","Sequential"
"48","2373_ChildEEGTest","2","1",20,5,0,3.4815553,"2","Sequential"
"49","2373_ChildEEGTest","2","1",21,5,1,3.6184757,"2","Sequential"
"50","2373_ChildEEGTest","2","1",22,5,1,4.7526954,"2","Sequential"
"51","2373_ChildEEGTest","2","1",23,5,1,3.4754308,"2","Sequential"
"52","2373_ChildEEGTest","2","1",34,5,0,5.9278751,"2","Sequential"
"53","2373_ChildEEGTest","2","1",25,6,1,4.0372495,"2","Sequential"
"54","2373_ChildEEGTest","2","1",26,6,0,5.0899234,"2","Sequential"
"55","2373_ChildEEGTest","2","1",27,6,0,4.6285947,"2","Sequential"
"56","2373_ChildEEGTest","2","1",28,6,0,3.9989411,"2","Sequential"
"57","2739__ChildEEGTest","4","2",1,1,0,6.1866265,"1","Non-sequential"
"58","2739__ChildEEGTest","4","2",2,1,0,13.3591585,"1","Non-sequential"
"59","2739__ChildEEGTest","4","2",3,1,1,22.3786318,"1","Non-sequential"
"60","2739__ChildEEGTest","4","2",4,1,0,28.5569369,"1","Non-sequential"
"61","2739__ChildEEGTest","4","2",5,1,1,4.0138297,"1","Non-sequential"
"62","2739__ChildEEGTest","4","2",6,2,0,4.2921631,"1","Non-sequential"
"63","2739__ChildEEGTest","4","2",7,2,1,5.2560254,"1","Non-sequential"
"64","2739__ChildEEGTest","4","2",8,2,1,6.0948627,"1","Non-sequential"
"65","2739__ChildEEGTest","4","2",9,2,0,4.4367302,"1","Non-sequential"
"66","2739__ChildEEGTest","4","2",10,2,1,4.024347,"1","Non-sequential"
"67","2739__ChildEEGTest","4","2",11,3,0,6.3649873,"1","Non-sequential"
"68","2739__ChildEEGTest","4","2",12,3,1,4.6227684,"1","Non-sequential"
"69","2739__ChildEEGTest","4","2",13,3,0,13.7215173,"1","Non-sequential"
